,total_cup_points,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,category_two_defects,altitude,iso_code
513,82.33,Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.25,0.12,2,1,1310.64,320
514,82.33,Colombia,Caturra,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.33,0.0,0,1,1750.0,170
515,82.33,Mexico,Typica,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,0.12,0,3,1300.0,484
516,82.33,Guatemala,Bourbon,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.33,0.11,0,3,1752.6,320
517,82.33,Mexico,Typica,Natural / Dry,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,10.0,7.58,0.15,1,8,441.0,484
518,82.33,Mexico,Bourbon,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.0,0.13,0,9,1170.0,484
519,82.33,Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.5,0.1,2,5,1310.64,320
520,82.33,Brazil,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,0.12,0,2,1100.0,76
521,82.33,Mexico,Typica,Washed / Wet,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,10.0,7.83,0.11,0,0,1300.0,484
522,82.33,Brazil,Mundo Novo,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,7.42,0.11,0,2,950.0,76
523,82.33,Colombia,Caturra,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,10.0,7.33,0.0,0,0,442.0,170
524,82.25,Guatemala,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,7.33,0.11,0,2,1450.0,320
525,82.25,El Salvador,Bourbon,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,0.12,0,0,1500.0,222
526,82.25,Honduras,Catuai,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.33,0.11,0,2,1350.0,340
527,82.25,Malawi,Gesha,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10.0,10.0,10.0,7.42,0.13,0,0,1180.0,454
528,82.25,Brazil,Bourbon,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,0.11,0,0,1100.0,76
529,82.25,Taiwan,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.25,0.11,0,0,650.0,158
530,82.25,Mexico,Mundo Novo,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10.0,10.0,10.0,7.42,0.12,0,4,1338.0,484
531,82.25,Mexico,Bourbon,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,10.0,7.58,0.16,3,8,533.0,484
532,82.25,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,7.33,0.11,0,2,1390.8024,320
533,82.25,Mexico,Bourbon,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,7.33,0.13,0,3,1170.0,484
534,82.25,Mexico,Typica,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.33,0.12,0,13,1250.0,484
535,82.25,Mexico,Typica,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,7.42,0.11,0,0,1100.0,484
536,82.25,Mexico,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.42,0.1,0,3,900.0,484
537,82.25,Colombia,Caturra,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,7.42,0.12,0,1,1750.0,170
538,82.25,Colombia,Caturra,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,10.0,7.58,0.11,0,0,1775.0,170
539,82.17,Brazil,Bourbon,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,7.5,0.11,0,5,934.0,76
540,82.17,Honduras,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.58,0.11,0,2,1500.0,340
541,82.17,Tanzania,Bourbon,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,0.13,1,6,1650.0,834
542,82.17,Tanzania,Other,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10.0,10.0,10.0,7.58,0.12,0,1,1600.0,834
543,82.17,Honduras,Catuai,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10.0,10.0,10.0,7.33,0.11,0,2,1350.0,340
544,82.17,Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.42,0.09,0,4,1500.0,320
545,82.17,Tanzania,Other,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10.0,10.0,10.0,7.25,0.12,0,1,1700.0,834
546,82.17,Mexico,Other,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10.0,10.0,10.0,7.33,0.12,0,0,1100.0,484
547,82.17,Mexico,Other,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,0.1,1,1,1400.0,484
548,82.17,Taiwan,Typica,Other,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.17,0.11,0,0,1200.0,158
549,82.17,Taiwan,Typica,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10.0,10.0,10.0,7.58,0.0,0,0,800.0,158
550,82.17,Colombia,Caturra,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,10.0,7.5,0.0,0,1,1750.0,170
551,82.17,Mexico,Typica,Washed / Wet,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,10.0,7.67,0.15,1,9,1144.0,484
552,82.17,Guatemala,Caturra,Washed / Wet,7.25,7.75,7.0,7.75,8.17,7.75,10.0,10.0,9.33,7.17,0.12,0,2,1350.0,320
553,82.17,Mexico,Typica,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.5,0.12,0,4,1000.0,484
554,82.17,Mexico,Typica,Washed / Wet,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.1,0,1,1200.0,484
